protocol=2026-09-10 provenance audit
source_sha256=c55a1e2fa06ccb03e450c89715e0da28b3e32dce507ca55419b817f458fc4dac
BASELINE={"entries": 29, "preserved_snapshots": 5, "verified": true}
SOURCE={"log": "one_ss_run_capacity.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/one_ss_run_capacity.py"}
SOURCE={"log": "one_ss_union_control.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/one_ss_union_control.py"}
SOURCE={"log": "orbit_coverage_census.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/orbit_coverage_census.cpp"}
SOURCE={"log": "orbit_defect_census.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/orbit_defect_census.cpp"}
SOURCE={"log": "orbit_local_parity_census.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/orbit_local_parity_census.cpp"}
SOURCE={"log": "orbit_one_ss_census.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/orbit_one_ss_census.cpp"}
SOURCE={"log": "orbit_ss_census.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/orbit_ss_census.cpp"}
SOURCE={"log": "parity_supply_capacity.txt", "key": "script_sha256", "source": "experiments/issue73_20260910/parity_supply_capacity.py"}
SOURCE={"log": "parity_supply_capacity.txt", "key": "solver_sha256", "source": "experiments/parallel20260907/periodic_search.py"}
SOURCE={"log": "periodic_representation.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/periodic_representation.py"}
SOURCE={"log": "phase_energy.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/phase_energy.py"}
SOURCE={"log": "positive_period_lag.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/positive_period_lag.py"}
SOURCE={"log": "reservoir_capacity.txt", "key": "script_sha256", "source": "experiments/issue73_20260910/reservoir_capacity.py"}
SOURCE={"log": "reservoir_capacity.txt", "key": "generator_sha256", "source": "experiments/issue73_20260910/bounded_excess_multiplicity.py"}
SOURCE={"log": "short_blocker_rigidity.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/short_blocker_rigidity.py"}
SOURCE={"log": "short_reservoir_specialization.txt", "key": "short_reservoir_specialization.py_sha256", "source": "experiments/issue73_20260910/short_reservoir_specialization.py"}
SOURCE={"log": "short_reservoir_specialization.txt", "key": "reservoir_capacity.py_sha256", "source": "experiments/issue73_20260910/reservoir_capacity.py"}
SOURCE={"log": "short_reservoir_specialization.txt", "key": "bounded_excess_multiplicity.py_sha256", "source": "experiments/issue73_20260910/bounded_excess_multiplicity.py"}
SOURCE={"log": "signed_supply_gap.txt", "key": "script_sha256", "source": "experiments/issue73_20260910/signed_supply_gap.py"}
SOURCE={"log": "single_defect_matching.txt", "key": "single_defect_matching.py_sha256", "source": "experiments/issue73_20260910/single_defect_matching.py"}
SOURCE={"log": "single_defect_matching.txt", "key": "short_reservoir_specialization.py_sha256", "source": "experiments/issue73_20260910/short_reservoir_specialization.py"}
SOURCE={"log": "ss_free_supply.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/ss_free_supply.py"}
SOURCE={"log": "ss_gap_budget.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/ss_gap_budget.py"}
SOURCE={"log": "verify_canonical_family_b.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/verify_canonical_family_b.py"}
SOURCE={"log": "verify_prefix_lookup.txt", "key": "script_sha256", "source": "experiments/issue73_20260910/verify_prefix_lookup.py"}
LOGGED_SOURCE_HASHES=47
PASS: historical snapshots and recorded source identities agree
