value	birth	sign	section_start	section_value	section_pairs	j	side
39375642230	7575011947	A	7575011308	39375641910	18082	319	U
39375642233	7575011953	A	7575011308	39375641910	18082	322	U
39375642236	7575011959	A	7575011308	39375641910	18082	325	U
39375642239	7575011965	A	7575011308	39375641910	18082	328	U
39375642242	7575011971	A	7575011308	39375641910	18082	331	U
39375642245	7575011977	A	7575011308	39375641910	18082	334	U
39375642248	7575011983	A	7575011308	39375641910	18082	337	U
39375642251	7575011989	A	7575011308	39375641910	18082	340	U
39375642254	7575011995	A	7575011308	39375641910	18082	343	U
39375642257	7575012001	A	7575011308	39375641910	18082	346	U
39375642260	7575012007	A	7575011308	39375641910	18082	349	U
39375642263	7575012013	A	7575011308	39375641910	18082	352	U
39375642266	7575012019	A	7575011308	39375641910	18082	355	U
39375642269	7575012025	A	7575011308	39375641910	18082	358	U
39375642272	7575012031	A	7575011308	39375641910	18082	361	U
39375642275	7575012037	A	7575011308	39375641910	18082	364	U
39375642278	7575012043	A	7575011308	39375641910	18082	367	U
39375642281	7575012049	A	7575011308	39375641910	18082	370	U
39375642284	7575012055	A	7575011308	39375641910	18082	373	U
39375642287	7575012061	A	7575011308	39375641910	18082	376	U
39375642290	7575012067	A	7575011308	39375641910	18082	379	U
39375642293	7575012073	A	7575011308	39375641910	18082	382	U
39375642296	7575012079	A	7575011308	39375641910	18082	385	U
39375642299	7575012085	A	7575011308	39375641910	18082	388	U
39375642302	7575012091	A	7575011308	39375641910	18082	391	U
39375642305	7575012097	A	7575011308	39375641910	18082	394	U
39375642308	7575012103	A	7575011308	39375641910	18082	397	U
39375642311	7575012109	A	7575011308	39375641910	18082	400	U
39375642314	7575012115	A	7575011308	39375641910	18082	403	U
39375642317	7575012121	A	7575011308	39375641910	18082	406	U
39375642320	7575012127	A	7575011308	39375641910	18082	409	U
39375642323	7575012133	A	7575011308	39375641910	18082	412	U
39375642326	7575012139	A	7575011308	39375641910	18082	415	U
39375642329	7575012145	A	7575011308	39375641910	18082	418	U
39375642332	7575012151	A	7575011308	39375641910	18082	421	U
39375642335	7575012157	A	7575011308	39375641910	18082	424	U
39375642338	7575012163	A	7575011308	39375641910	18082	427	U
39375642341	7575012169	A	7575011308	39375641910	18082	430	U
39375642344	7575012175	A	7575011308	39375641910	18082	433	U
39375642347	7575012181	A	7575011308	39375641910	18082	436	U
39375642350	7575012187	A	7575011308	39375641910	18082	439	U
39375642353	7575012193	A	7575011308	39375641910	18082	442	U
39375642356	7575012199	A	7575011308	39375641910	18082	445	U
39375642359	7575012205	A	7575011308	39375641910	18082	448	U
39375642362	7575012211	A	7575011308	39375641910	18082	451	U
39375642365	7575012217	A	7575011308	39375641910	18082	454	U
39375642368	7575012223	A	7575011308	39375641910	18082	457	U
39375642371	7575012229	A	7575011308	39375641910	18082	460	U
39375642374	7575012235	A	7575011308	39375641910	18082	463	U
39375642377	7575012241	A	7575011308	39375641910	18082	466	U
39375642380	7575012247	A	7575011308	39375641910	18082	469	U
39375642383	7575012253	A	7575011308	39375641910	18082	472	U
39375642386	7575012259	A	7575011308	39375641910	18082	475	U
39375642389	7575012265	A	7575011308	39375641910	18082	478	U
39375642392	7575012271	A	7575011308	39375641910	18082	481	U
39375642395	7575012277	A	7575011308	39375641910	18082	484	U
39375642398	7575012283	A	7575011308	39375641910	18082	487	U
39375642401	7575012289	A	7575011308	39375641910	18082	490	U
39375642404	7575012295	A	7575011308	39375641910	18082	493	U
39375642407	7575012301	A	7575011308	39375641910	18082	496	U
39375642410	7575012307	A	7575011308	39375641910	18082	499	U
39375642413	7575012313	A	7575011308	39375641910	18082	502	U
39375642416	7575012319	A	7575011308	39375641910	18082	505	U
39375642419	7575012325	A	7575011308	39375641910	18082	508	U
39375642422	7575012331	A	7575011308	39375641910	18082	511	U
39375642425	7575012337	A	7575011308	39375641910	18082	514	U
39375642428	7575012343	A	7575011308	39375641910	18082	517	U
39375642431	7575012349	A	7575011308	39375641910	18082	520	U
39375642434	7575012355	A	7575011308	39375641910	18082	523	U
39375642437	7575012361	A	7575011308	39375641910	18082	526	U
39375642440	7575012367	A	7575011308	39375641910	18082	529	U
39375642443	7575012373	A	7575011308	39375641910	18082	532	U
39375642446	7575012379	A	7575011308	39375641910	18082	535	U
39375642449	7575012385	A	7575011308	39375641910	18082	538	U
39375642452	7575012391	A	7575011308	39375641910	18082	541	U
39375642455	7575012397	A	7575011308	39375641910	18082	544	U
39375642458	7575012403	A	7575011308	39375641910	18082	547	U
39375642461	7575012409	A	7575011308	39375641910	18082	550	U
39375642464	7575012415	A	7575011308	39375641910	18082	553	U
39375642467	7575012421	A	7575011308	39375641910	18082	556	U
39375642470	7575012427	A	7575011308	39375641910	18082	559	U
39375642473	7575012433	A	7575011308	39375641910	18082	562	U
39375642476	7575012439	A	7575011308	39375641910	18082	565	U
39375642479	7575012445	A	7575011308	39375641910	18082	568	U
39375642482	7575012451	A	7575011308	39375641910	18082	571	U
39375642485	7575012457	A	7575011308	39375641910	18082	574	U
39375642488	7575012463	A	7575011308	39375641910	18082	577	U
39375642491	7575012469	A	7575011308	39375641910	18082	580	U
39375642494	7575012475	A	7575011308	39375641910	18082	583	U
39375642497	7575012481	A	7575011308	39375641910	18082	586	U
39375642500	7575012487	A	7575011308	39375641910	18082	589	U
39375642503	7575012493	A	7575011308	39375641910	18082	592	U
39375642506	7575012499	A	7575011308	39375641910	18082	595	U
39375642509	7575012505	A	7575011308	39375641910	18082	598	U
39375642512	7575012511	A	7575011308	39375641910	18082	601	U
39375642515	7575012517	A	7575011308	39375641910	18082	604	U
39375642518	7575012523	A	7575011308	39375641910	18082	607	U
39375642521	7575012529	A	7575011308	39375641910	18082	610	U
39375642524	7575012535	A	7575011308	39375641910	18082	613	U
39375642527	7575012541	A	7575011308	39375641910	18082	616	U
39375642530	7575012547	A	7575011308	39375641910	18082	619	U
39375642533	7575012553	A	7575011308	39375641910	18082	622	U
39375642536	7575012559	A	7575011308	39375641910	18082	625	U
39375642539	7575012565	A	7575011308	39375641910	18082	628	U
39375642542	7575012571	A	7575011308	39375641910	18082	631	U
39375642545	7575012577	A	7575011308	39375641910	18082	634	U
39375642548	7575012583	A	7575011308	39375641910	18082	637	U
39375642551	7575012589	A	7575011308	39375641910	18082	640	U
39375642554	7575012595	A	7575011308	39375641910	18082	643	U
39375642557	7575012601	A	7575011308	39375641910	18082	646	U
39375642560	7575012607	A	7575011308	39375641910	18082	649	U
39375642563	7575012613	A	7575011308	39375641910	18082	652	U
39375642566	7575012619	A	7575011308	39375641910	18082	655	U
39375642569	7575012625	A	7575011308	39375641910	18082	658	U
39375642572	7575012631	A	7575011308	39375641910	18082	661	U
39375642575	7575012637	A	7575011308	39375641910	18082	664	U
39375642578	7575012643	A	7575011308	39375641910	18082	667	U
39375642581	7575012649	A	7575011308	39375641910	18082	670	U
39375642584	7575012655	A	7575011308	39375641910	18082	673	U
39375642587	7575012661	A	7575011308	39375641910	18082	676	U
39375642590	7575012667	A	7575011308	39375641910	18082	679	U
39375642593	7575012673	A	7575011308	39375641910	18082	682	U
39375642596	7575012679	A	7575011308	39375641910	18082	685	U
39375642599	7575012685	A	7575011308	39375641910	18082	688	U
39375642602	7575012691	A	7575011308	39375641910	18082	691	U
39375642605	7575012697	A	7575011308	39375641910	18082	694	U
39375642608	7575012703	A	7575011308	39375641910	18082	697	U
39375642611	7575012709	A	7575011308	39375641910	18082	700	U
39375642614	7575012715	A	7575011308	39375641910	18082	703	U
39375642617	7575012721	A	7575011308	39375641910	18082	706	U
39375642620	7575012727	A	7575011308	39375641910	18082	709	U
39375642623	7575012733	A	7575011308	39375641910	18082	712	U
39375642626	7575012739	A	7575011308	39375641910	18082	715	U
39375642629	7575012745	A	7575011308	39375641910	18082	718	U
39375642632	7575012751	A	7575011308	39375641910	18082	721	U
39375642635	7575012757	A	7575011308	39375641910	18082	724	U
39375642638	7575012763	A	7575011308	39375641910	18082	727	U
39375642641	7575012769	A	7575011308	39375641910	18082	730	U
39375642644	7575012775	A	7575011308	39375641910	18082	733	U
39375642647	7575012781	A	7575011308	39375641910	18082	736	U
39375642650	7575012787	A	7575011308	39375641910	18082	739	U
39375642653	7575012793	A	7575011308	39375641910	18082	742	U
39375642656	7575012799	A	7575011308	39375641910	18082	745	U
39375642659	7575012805	A	7575011308	39375641910	18082	748	U
39375642662	7575012811	A	7575011308	39375641910	18082	751	U
39375642665	7575012817	A	7575011308	39375641910	18082	754	U
39375642668	7575012823	A	7575011308	39375641910	18082	757	U
39375642671	7575012829	A	7575011308	39375641910	18082	760	U
39375642674	7575012835	A	7575011308	39375641910	18082	763	U
39375642677	7575012841	A	7575011308	39375641910	18082	766	U
39375642680	7575012847	A	7575011308	39375641910	18082	769	U
39375642683	7575012853	A	7575011308	39375641910	18082	772	U
39375642686	7575012859	A	7575011308	39375641910	18082	775	U
39375642689	7575012865	A	7575011308	39375641910	18082	778	U
39375642692	7575012871	A	7575011308	39375641910	18082	781	U
39375642695	7575012877	A	7575011308	39375641910	18082	784	U
39375642698	7575012883	A	7575011308	39375641910	18082	787	U
39375642701	7575012889	A	7575011308	39375641910	18082	790	U
39375642704	7575012895	A	7575011308	39375641910	18082	793	U
39375642707	7575012901	A	7575011308	39375641910	18082	796	U
39375642710	7575012907	A	7575011308	39375641910	18082	799	U
39375642713	7575012913	A	7575011308	39375641910	18082	802	U
39375642716	7575012919	A	7575011308	39375641910	18082	805	U
39375642719	7575012925	A	7575011308	39375641910	18082	808	U
39375642722	7575012931	A	7575011308	39375641910	18082	811	U
39375642725	7575012937	A	7575011308	39375641910	18082	814	U
39375642728	7575012943	A	7575011308	39375641910	18082	817	U
39375642731	7575012949	A	7575011308	39375641910	18082	820	U
39375642734	7575012955	A	7575011308	39375641910	18082	823	U
39375642737	7575012961	A	7575011308	39375641910	18082	826	U
39375642740	7575012967	A	7575011308	39375641910	18082	829	U
39375642743	7575012973	A	7575011308	39375641910	18082	832	U
39375642746	7575012979	A	7575011308	39375641910	18082	835	U
39375642749	7575012985	A	7575011308	39375641910	18082	838	U
39375642752	7575012991	A	7575011308	39375641910	18082	841	U
39375642755	7575012997	A	7575011308	39375641910	18082	844	U
39375642758	7575013003	A	7575011308	39375641910	18082	847	U
39375642761	7575013009	A	7575011308	39375641910	18082	850	U
39375642764	7575013015	A	7575011308	39375641910	18082	853	U
39375642767	7575013021	A	7575011308	39375641910	18082	856	U
39375642770	7575013027	A	7575011308	39375641910	18082	859	U
39375642773	7575013033	A	7575011308	39375641910	18082	862	U
39375642776	7575013039	A	7575011308	39375641910	18082	865	U
39375642779	7575013045	A	7575011308	39375641910	18082	868	U
39375642782	7575013051	A	7575011308	39375641910	18082	871	U
39375642785	7575013057	A	7575011308	39375641910	18082	874	U
39375642788	7575013063	A	7575011308	39375641910	18082	877	U
39375642791	7575013069	A	7575011308	39375641910	18082	880	U
39375642794	7575013075	A	7575011308	39375641910	18082	883	U
39375642797	7575013081	A	7575011308	39375641910	18082	886	U
39375642800	7575013087	A	7575011308	39375641910	18082	889	U
39375642803	7575013093	A	7575011308	39375641910	18082	892	U
39375642806	7575013099	A	7575011308	39375641910	18082	895	U
39375642809	7575013105	A	7575011308	39375641910	18082	898	U
39375642812	7575013111	A	7575011308	39375641910	18082	901	U
39375642815	7575013117	A	7575011308	39375641910	18082	904	U
39375642818	7575013123	A	7575011308	39375641910	18082	907	U
39375642821	7575013129	A	7575011308	39375641910	18082	910	U
39375642824	7575013135	A	7575011308	39375641910	18082	913	U
39375642827	7575013141	A	7575011308	39375641910	18082	916	U
39375642830	7575013147	A	7575011308	39375641910	18082	919	U
39375642833	7575013153	A	7575011308	39375641910	18082	922	U
39375642836	7575013159	A	7575011308	39375641910	18082	925	U
39375642839	7575013165	A	7575011308	39375641910	18082	928	U
39375642842	7575013171	A	7575011308	39375641910	18082	931	U
39375642845	7575013177	A	7575011308	39375641910	18082	934	U
39375642848	7575013183	A	7575011308	39375641910	18082	937	U
39375642851	7575013189	A	7575011308	39375641910	18082	940	U
39375642854	7575013195	A	7575011308	39375641910	18082	943	U
39375642857	7575013201	A	7575011308	39375641910	18082	946	U
39375642860	7575013207	A	7575011308	39375641910	18082	949	U
39375642863	7575013213	A	7575011308	39375641910	18082	952	U
39375642866	7575013219	A	7575011308	39375641910	18082	955	U
39375642869	7575013225	A	7575011308	39375641910	18082	958	U
39375642872	7575013231	A	7575011308	39375641910	18082	961	U
39375642875	7575013237	A	7575011308	39375641910	18082	964	U
39375642878	7575013243	A	7575011308	39375641910	18082	967	U
39375642881	7575013249	A	7575011308	39375641910	18082	970	U
39375642884	7575013255	A	7575011308	39375641910	18082	973	U
39375642887	7575013261	A	7575011308	39375641910	18082	976	U
39375642890	7575013267	A	7575011308	39375641910	18082	979	U
39375642893	7575013273	A	7575011308	39375641910	18082	982	U
39375642896	7575013279	A	7575011308	39375641910	18082	985	U
39375642899	7575013285	A	7575011308	39375641910	18082	988	U
39375642902	7575013291	A	7575011308	39375641910	18082	991	U
39375642905	7575013297	A	7575011308	39375641910	18082	994	U
39375642908	7575013303	A	7575011308	39375641910	18082	997	U
39375642911	7575013309	A	7575011308	39375641910	18082	1000	U
39375642914	7575013315	A	7575011308	39375641910	18082	1003	U
39375642917	7575013321	A	7575011308	39375641910	18082	1006	U
39375642920	7575013327	A	7575011308	39375641910	18082	1009	U
39375642923	7575013333	A	7575011308	39375641910	18082	1012	U
39375642926	7575013339	A	7575011308	39375641910	18082	1015	U
39375642929	7575013345	A	7575011308	39375641910	18082	1018	U
39375642932	7575013351	A	7575011308	39375641910	18082	1021	U
39375642935	7575013357	A	7575011308	39375641910	18082	1024	U
39375642938	7575013363	A	7575011308	39375641910	18082	1027	U
39375642941	7575013369	A	7575011308	39375641910	18082	1030	U
39375642944	7575013375	A	7575011308	39375641910	18082	1033	U
39375642947	7575013381	A	7575011308	39375641910	18082	1036	U
39375642950	7575013387	A	7575011308	39375641910	18082	1039	U
39375642953	7575013393	A	7575011308	39375641910	18082	1042	U
39375642956	7575013399	A	7575011308	39375641910	18082	1045	U
39375642959	7575013405	A	7575011308	39375641910	18082	1048	U
39375642962	7575013411	A	7575011308	39375641910	18082	1051	U
39375642965	7575013417	A	7575011308	39375641910	18082	1054	U
39375642968	7575013423	A	7575011308	39375641910	18082	1057	U
39375642971	7575013429	A	7575011308	39375641910	18082	1060	U
39375642974	7575013435	A	7575011308	39375641910	18082	1063	U
39375642977	7575013441	A	7575011308	39375641910	18082	1066	U
39375642980	7575013447	A	7575011308	39375641910	18082	1069	U
39375642983	7575013453	A	7575011308	39375641910	18082	1072	U
39375642986	7575013459	A	7575011308	39375641910	18082	1075	U
39375642989	7575013465	A	7575011308	39375641910	18082	1078	U
39375642992	7575013471	A	7575011308	39375641910	18082	1081	U
39375642995	7575013477	A	7575011308	39375641910	18082	1084	U
39375642998	7575013483	A	7575011308	39375641910	18082	1087	U
39375643001	7575013489	A	7575011308	39375641910	18082	1090	U
39375643004	7575013495	A	7575011308	39375641910	18082	1093	U
39375643007	7575013501	A	7575011308	39375641910	18082	1096	U
39375643010	7575013507	A	7575011308	39375641910	18082	1099	U
39375643013	7575013513	A	7575011308	39375641910	18082	1102	U
39375643016	7575013519	A	7575011308	39375641910	18082	1105	U
39375643019	7575013525	A	7575011308	39375641910	18082	1108	U
39375643022	7575013531	A	7575011308	39375641910	18082	1111	U
39375643025	7575013537	A	7575011308	39375641910	18082	1114	U
39375643028	7575013543	A	7575011308	39375641910	18082	1117	U
39375643031	7575013549	A	7575011308	39375641910	18082	1120	U
39375643034	7575013555	A	7575011308	39375641910	18082	1123	U
39375643037	7575013561	A	7575011308	39375641910	18082	1126	U
39375643040	7575013567	A	7575011308	39375641910	18082	1129	U
39375643043	7575013573	A	7575011308	39375641910	18082	1132	U
39375643046	7575013579	A	7575011308	39375641910	18082	1135	U
39375643049	7575013585	A	7575011308	39375641910	18082	1138	U
39375643052	7575013591	A	7575011308	39375641910	18082	1141	U
39375643055	7575013597	A	7575011308	39375641910	18082	1144	U
39375643058	7575013603	A	7575011308	39375641910	18082	1147	U
39375643061	7575013609	A	7575011308	39375641910	18082	1150	U
39375643064	7575013615	A	7575011308	39375641910	18082	1153	U
39375643067	7575013621	A	7575011308	39375641910	18082	1156	U
39375643070	7575013627	A	7575011308	39375641910	18082	1159	U
39375643073	7575013633	A	7575011308	39375641910	18082	1162	U
39375643076	7575013639	A	7575011308	39375641910	18082	1165	U
39375643079	7575013645	A	7575011308	39375641910	18082	1168	U
39375643082	7575013651	A	7575011308	39375641910	18082	1171	U
39375643085	7575013657	A	7575011308	39375641910	18082	1174	U
39375643088	7575013663	A	7575011308	39375641910	18082	1177	U
39375643091	7575013669	A	7575011308	39375641910	18082	1180	U
39375643094	7575013675	A	7575011308	39375641910	18082	1183	U
39375643097	7575013681	A	7575011308	39375641910	18082	1186	U
39375643100	7575013687	A	7575011308	39375641910	18082	1189	U
39375643103	7575013693	A	7575011308	39375641910	18082	1192	U
39375643106	7575013699	A	7575011308	39375641910	18082	1195	U
39375643109	7575013705	A	7575011308	39375641910	18082	1198	U
39375643112	7575013711	A	7575011308	39375641910	18082	1201	U
39375643115	7575013717	A	7575011308	39375641910	18082	1204	U
39375643118	7575013723	A	7575011308	39375641910	18082	1207	U
39375643121	7575013729	A	7575011308	39375641910	18082	1210	U
39375643124	7575013735	A	7575011308	39375641910	18082	1213	U
39375643127	7575013741	A	7575011308	39375641910	18082	1216	U
39375643130	7575013747	A	7575011308	39375641910	18082	1219	U
39375643133	7575013753	A	7575011308	39375641910	18082	1222	U
39375643136	7575013759	A	7575011308	39375641910	18082	1225	U
39375643139	7575013765	A	7575011308	39375641910	18082	1228	U
39375643142	7575013771	A	7575011308	39375641910	18082	1231	U
39375643145	7575013777	A	7575011308	39375641910	18082	1234	U
39375643148	7575013783	A	7575011308	39375641910	18082	1237	U
39375643151	7575013789	A	7575011308	39375641910	18082	1240	U
39375643154	7575013795	A	7575011308	39375641910	18082	1243	U
39375643157	7575013801	A	7575011308	39375641910	18082	1246	U
39375643160	7575013807	A	7575011308	39375641910	18082	1249	U
39375643163	7575013813	A	7575011308	39375641910	18082	1252	U
39375643166	7575013819	A	7575011308	39375641910	18082	1255	U
39375643169	7575013825	A	7575011308	39375641910	18082	1258	U
39375643172	7575013831	A	7575011308	39375641910	18082	1261	U
39375643175	7575013837	A	7575011308	39375641910	18082	1264	U
39375643178	7575013843	A	7575011308	39375641910	18082	1267	U
39375643181	7575013849	A	7575011308	39375641910	18082	1270	U
39375643184	7575013855	A	7575011308	39375641910	18082	1273	U
39375643187	7575013861	A	7575011308	39375641910	18082	1276	U
39375643190	7575013867	A	7575011308	39375641910	18082	1279	U
39375643193	7575013873	A	7575011308	39375641910	18082	1282	U
39375643196	7575013879	A	7575011308	39375641910	18082	1285	U
39375643199	7575013885	A	7575011308	39375641910	18082	1288	U
39375643202	7575013891	A	7575011308	39375641910	18082	1291	U
39375643205	7575013897	A	7575011308	39375641910	18082	1294	U
39375643208	7575013903	A	7575011308	39375641910	18082	1297	U
39375643211	7575013909	A	7575011308	39375641910	18082	1300	U
39375643214	7575013915	A	7575011308	39375641910	18082	1303	U
39375643217	7575013921	A	7575011308	39375641910	18082	1306	U
39375643220	7575013927	A	7575011308	39375641910	18082	1309	U
39375643223	7575013933	A	7575011308	39375641910	18082	1312	U
39375643226	7575013939	A	7575011308	39375641910	18082	1315	U
39375643229	7575013945	A	7575011308	39375641910	18082	1318	U
39375643232	7575013951	A	7575011308	39375641910	18082	1321	U
39375643235	7575013957	A	7575011308	39375641910	18082	1324	U
39375643238	7575013963	A	7575011308	39375641910	18082	1327	U
39375643241	7575013969	A	7575011308	39375641910	18082	1330	U
39375643244	7575013975	A	7575011308	39375641910	18082	1333	U
39375643247	7575013981	A	7575011308	39375641910	18082	1336	U
39375643250	7575013987	A	7575011308	39375641910	18082	1339	U
39375643253	7575013993	A	7575011308	39375641910	18082	1342	U
39375643256	7575013999	A	7575011308	39375641910	18082	1345	U
39375643259	7575014005	A	7575011308	39375641910	18082	1348	U
39375643262	7575014011	A	7575011308	39375641910	18082	1351	U
39375643265	7575014017	A	7575011308	39375641910	18082	1354	U
39375643268	7575014023	A	7575011308	39375641910	18082	1357	U
39375643271	7575014029	A	7575011308	39375641910	18082	1360	U
39375643274	7575014035	A	7575011308	39375641910	18082	1363	U
39375643277	7575014041	A	7575011308	39375641910	18082	1366	U
39375643280	7575014047	A	7575011308	39375641910	18082	1369	U
39375643283	7575014053	A	7575011308	39375641910	18082	1372	U
39375643286	7575014059	A	7575011308	39375641910	18082	1375	U
39375643289	7575014065	A	7575011308	39375641910	18082	1378	U
39375643292	7575014071	A	7575011308	39375641910	18082	1381	U
39375643295	7575014077	A	7575011308	39375641910	18082	1384	U
39375643298	7575014083	A	7575011308	39375641910	18082	1387	U
39375643301	7575014089	A	7575011308	39375641910	18082	1390	U
39375643304	7575014095	A	7575011308	39375641910	18082	1393	U
39375643307	7575014101	A	7575011308	39375641910	18082	1396	U
39375643310	7575014107	A	7575011308	39375641910	18082	1399	U
39375643313	7575014113	A	7575011308	39375641910	18082	1402	U
39375643316	7575014119	A	7575011308	39375641910	18082	1405	U
39375643319	7575014125	A	7575011308	39375641910	18082	1408	U
39375643322	7575014131	A	7575011308	39375641910	18082	1411	U
39375643325	7575014137	A	7575011308	39375641910	18082	1414	U
